Niveau	Chemin complet
1	JEUNES ADULTES (16-25 ans) > Romance
2	JEUNES ADULTES (16-25 ans) > Romance > LGBT
2	JEUNES ADULTES (16-25 ans) > Romance > Paranormale
2	JEUNES ADULTES (16-25 ans) > Romance > Romance Contemporaine
2	JEUNES ADULTES (16-25 ans) > Romance > Romance dystopique
1	JEUNES ADULTES (16-25 ans) > Santé mentale
1	JEUNES ADULTES (16-25 ans) > Sexualité
0	LITTÉRATURE
1	LITTÉRATURE > Folio/Poche
1	LITTÉRATURE > Pléiade
1	LITTÉRATURE > Romance
2	LITTÉRATURE > Romance > Dark romance
2	LITTÉRATURE > Romance > Feel good
2	LITTÉRATURE > Romance > LGBT
2	LITTÉRATURE > Romance > New Romance
2	LITTÉRATURE > Romance > Roman érotique
2	LITTÉRATURE > Romance > Romance contemporaine
2	LITTÉRATURE > Romance > Romance historique
2	LITTÉRATURE > Romance > Romance paranormale
2	LITTÉRATURE > Romance > Romantasy
1	LITTÉRATURE > Romans
2	LITTÉRATURE > Romans > Biographies
2	LITTÉRATURE > Romans > Humour
2	LITTÉRATURE > Romans > Récit de voyage
2	LITTÉRATURE > Romans > Romans africains
2	LITTÉRATURE > Romans > Romans allemands
2	LITTÉRATURE > Romans > Romans anglais
2	LITTÉRATURE > Romans > Romans asiatiques
2	LITTÉRATURE > Romans > Romans du terroir
2	LITTÉRATURE > Romans > Romans espagnols
2	LITTÉRATURE > Romans > Romans français
2	LITTÉRATURE > Romans > Romans historiques
2	LITTÉRATURE > Romans > Romans italiens
2	LITTÉRATURE > Romans > Romans portugais
2	LITTÉRATURE > Romans > Romans russes
1	LITTÉRATURE > Théâtre & Poésie
2	LITTÉRATURE > Théâtre & Poésie > Antiquité
2	LITTÉRATURE > Théâtre & Poésie > Essai
2	LITTÉRATURE > Théâtre & Poésie > Moyen Âge
2	LITTÉRATURE > Théâtre & Poésie > Poésie
2	LITTÉRATURE > Théâtre & Poésie > Théâtre
1	LITTÉRATURE > Thriller
2	LITTÉRATURE > Thriller > Cosy mystery
2	LITTÉRATURE > Thriller > Polar historique
2	LITTÉRATURE > Thriller > Policier féminin
2	LITTÉRATURE > Thriller > Roman noir
2	LITTÉRATURE > Thriller > Roman policier
2	LITTÉRATURE > Thriller > Thriller
0	LIVRES RARES & COLLECTION
1	LIVRES RARES & COLLECTION > Beaux livres épuisés
1	LIVRES RARES & COLLECTION > Collections complètes
1	LIVRES RARES & COLLECTION > Éditions originales
1	LIVRES RARES & COLLECTION > Livres anciens (avant 1900)
1	LIVRES RARES & COLLECTION > Livres de bibliophilie
1	LIVRES RARES & COLLECTION > Livres signés/dédicacés
0	LOISIRS & VOYAGES
1	LOISIRS & VOYAGES > Bricolage
2	LOISIRS & VOYAGES > Bricolage > Décoration intérieure
2	LOISIRS & VOYAGES > Bricolage > Électricité
2	LOISIRS & VOYAGES > Bricolage > Menuiserie
2	LOISIRS & VOYAGES > Bricolage > Plomberie
2	LOISIRS & VOYAGES > Bricolage > Travaux maison
